('201419_14100400_9.6_155.1_40_996', tensor(62.8343))
('201421_14113000_13.4_108.6_35_998', tensor(36.2910))
('201422_14120106_4.9_152.2_35_998', tensor(57.8312))
('201422_14120112_5.5_150.7_40_994', tensor(47.4342))
('201422_14120118_5.9_148.9_45_990', tensor(60.4145))
('201422_14120200_5.9_146.9_50_985', tensor(52.1571))
('201422_14120206_6.1_145.1_55_980', tensor(64.0083))
('201422_14120212_6.2_143.5_60_975', tensor(56.8507))
('201422_14120218_6.6_142.1_70_965', tensor(67.3488))
('201422_14120300_7.5_140.5_75_955', tensor(74.3358))
('201422_14120306_8.2_138.6_80_950', tensor(71.6525))
('201422_14120312_8.7_136.8_85_945', tensor(65.0803))
('201422_14120318_9.2_135.3_95_935', tensor(67.0638))
('201422_14120400_9.8_133.8_105_915', tensor(87.9640))
('201422_14120406_10.4_132.4_115_905', tensor(105.7521))
('201422_14120412_11.0_131.3_115_905', tensor(111.5291))
('201422_14120418_11.4_130.4_115_905', tensor(91.4923))
('201422_14120500_11.6_129.7_110_910', tensor(71.9793))
('201422_14120506_11.9_129.0_110_910', tensor(76.0868))
('201422_14120512_12.0_128.5_110_910', tensor(85.5150))
('201422_14120518_12.0_128.0_100_925', tensor(75.1179))
('201422_14120600_12.0_127.3_95_935', tensor(71.2921))
('201422_14120606_12.1_126.6_95_935', tensor(65.6107))
('201422_14120612_12.0_125.9_90_945', tensor(77.7711))
('201422_14120618_11.8_125.3_90_945', tensor(75.9091))
('201422_14120700_11.9_124.6_85_955', tensor(73.0769))
('201422_14120706_12.2_124.1_85_955', tensor(66.8331))
('201422_14120712_12.5_123.6_75_965', tensor(53.8839))
('201422_14120718_12.8_123.1_65_975', tensor(50.6909))
('201422_14120800_13.2_122.6_60_980', tensor(40.7400))
('201422_14120806_13.5_122.0_55_985', tensor(44.3137))
('201422_14120812_13.7_121.2_45_990', tensor(47.6914))
('201422_14120818_13.7_121.0_40_990', tensor(57.6351))
('201422_14120900_13.7_120.6_35_994', tensor(56.2273))
('201422_14120906_13.6_119.7_35_994', tensor(47.4743))
('201422_14120912_13.6_118.9_40_990', tensor(54.2309))
('201422_14120918_13.7_117.9_40_990', tensor(60.5844))
('201422_14121000_13.7_116.9_40_990', tensor(63.8413))
('201422_14121006_13.8_116.0_40_990', tensor(60.5431))
('201422_14121012_13.8_115.3_40_990', tensor(62.0063))
('201422_14121018_13.8_114.3_40_990', tensor(53.6316))
('201422_14121100_13.6_113.4_35_996', tensor(57.5620))
('201423_14122818_8.6_126.6_35_998', tensor(51.5975))
('201423_14122900_9.0_126.0_35_1000', tensor(68.3792))
('201423_14122906_9.4_125.4_35_998', tensor(66.8235))
('201423_14122912_9.5_124.7_35_998', tensor(56.9751))
('201423_14122918_9.9_124.1_40_996', tensor(49.3052))
('201423_14123000_10.1_123.0_35_998', tensor(50.3401))
('201423_14123006_9.6_122.4_35_1000', tensor(40.8983))
('201501_15011318_9.2_140.7_35_1002', tensor(46.4458))
('201501_15011400_10.1_139.5_35_1002', tensor(39.1064))
('201501_15011406_10.3_138.4_35_1000', tensor(50.5381))
('201501_15011412_10.9_137.1_35_1000', tensor(62.0332))
('201501_15011418_11.3_135.6_35_1000', tensor(54.5788))
('201501_15011500_11.4_134.2_35_998', tensor(58.4419))
('201501_15011506_11.6_133.2_35_996', tensor(56.1790))
('201501_15011512_11.7_132.7_40_994', tensor(51.1612))
('201501_15011518_11.6_131.7_40_992', tensor(47.1345))
('201501_15011600_11.3_130.7_45_990', tensor(50.9326))
('201501_15011606_11.3_129.3_50_985', tensor(67.4967))
('201501_15011612_11.2_128.5_50_980', tensor(64.6162))
('201501_15011618_11.0_127.5_60_975', tensor(73.2521))
('201501_15011700_11.4_126.7_60_975', tensor(84.7618))
('201501_15011706_11.9_126.0_60_975', tensor(80.4281))
('201501_15011712_12.4_125.2_45_990', tensor(66.9066))
('201501_15011718_12.7_124.3_40_992', tensor(69.4625))
('201501_15011800_13.5_123.6_35_996', tensor(67.4706))
('201501_15011806_13.9_122.9_35_996', tensor(48.8333))
('201501_15011812_14.8_122.6_35_1000', tensor(41.8248))
('201502_15020800_11.9_157.3_40_996', tensor(60.3274))
('201502_15020806_12.0_157.0_45_990', tensor(70.7436))
('201502_15020812_11.9_156.9_45_990', tensor(69.5667))
('201502_15020818_11.9_156.7_50_985', tensor(62.6441))
('201502_15020900_12.1_156.4_50_985', tensor(66.4664))
('201502_15020906_12.3_156.1_55_980', tensor(63.6141))
('201502_15020912_12.6_155.7_60_975', tensor(51.8838))
('201502_15020918_13.0_155.2_70_965', tensor(57.1470))
('201502_15021000_13.6_154.7_80_955', tensor(59.2237))
('201502_15021006_14.2_154.2_90_940', tensor(89.7726))
('201502_15021012_14.7_154.1_80_955', tensor(74.9560))
('201502_15021018_15.0_153.6_65_975', tensor(62.1071))
('201502_15021100_15.3_153.2_50_990', tensor(50.7775))
('201502_15021106_15.5_152.8_40_994', tensor(34.0100))
('201503_15031112_6.8_169.0_35_996', tensor(42.3219))
('201503_15031118_7.3_168.1_35_996', tensor(49.2653))
('201503_15031200_7.4_166.9_35_994', tensor(47.6256))
('201503_15031206_8.1_166.1_35_994', tensor(31.7638))
('201503_15031212_8.3_164.0_40_992', tensor(34.7064))
('201503_15031218_8.4_162.5_40_992', tensor(45.2819))
('201503_15031300_8.7_160.8_40_992', tensor(38.1158))
('201503_15031306_9.0_159.9_40_992', tensor(45.7995))
('201503_15031312_9.8_158.6_40_992', tensor(41.1654))
('201503_15031318_11.0_156.9_45_990', tensor(37.1749))
('201503_15031400_11.7_154.5_45_990', tensor(50.5887))
('201503_15031406_12.6_152.6_45_990', tensor(63.1903))
('201503_15031412_13.5_151.0_45_990', tensor(69.6439))
('201503_15031418_14.0_149.4_45_990', tensor(61.9647))
('201503_15031500_14.2_148.0_45_990', tensor(50.9512))
('201503_15031506_14.3_146.6_45_990', tensor(58.3487))
('201503_15031512_13.2_145.2_45_992', tensor(40.6905))
('201503_15031518_13.1_142.3_40_994', tensor(46.0574))
('201503_15031600_13.4_141.0_35_996', tensor(45.3191))
('201503_15031606_14.1_139.6_35_996', tensor(65.7081))
('201503_15031612_14.5_138.4_35_996', tensor(49.1378))
('201503_15031618_14.9_137.3_35_996', tensor(45.5796))
('201503_15031700_15.1_136.4_35_996', tensor(46.1261))
('201503_15031706_15.3_135.4_35_998', tensor(49.5011))
('201504_15032800_7.8_155.5_35_998', tensor(53.0640))
('201504_15032806_7.6_154.4_45_994', tensor(47.6187))
('201504_15032812_7.3_153.9_50_985', tensor(66.3456))
('201504_15032818_7.4_153.1_55_980', tensor(73.7552))
('201504_15032900_7.6_152.2_65_970', tensor(85.4198))
('201504_15032906_7.8_151.1_70_965', tensor(80.9517))
('201504_15032912_8.0_149.5_80_950', tensor(81.8971))
('201504_15032918_8.1_148.0_80_950', tensor(74.9209))
('201504_15033000_8.5_146.9_80_950', tensor(79.5832))
('201504_15033006_8.8_145.7_80_950', tensor(90.9390))
('201504_15033012_9.0_144.9_85_940', tensor(93.2793))
('201504_15033018_9.4_143.7_95_925', tensor(81.2407))
('201504_15033100_9.6_142.5_100_915', tensor(104.3395))
('201504_15033106_10.0_141.3_105_910', tensor(111.1646))
('201504_15033112_10.2_139.9_105_910', tensor(116.0101))
('201504_15033118_10.3_138.7_105_910', tensor(115.0105))
('201504_15040100_10.7_137.7_105_910', tensor(114.8901))
('201504_15040106_11.2_136.6_105_910', tensor(111.5832))
('201504_15040112_11.7_135.7_105_910', tensor(100.7402))
('201504_15040118_12.0_134.7_105_910', tensor(111.8706))
('201504_15040200_12.3_134.0_95_925', tensor(108.8692))
('201504_15040206_12.8_133.4_85_940', tensor(107.0065))
('201504_15040212_13.2_132.6_85_940', tensor(76.3985))
('201504_15040218_13.7_132.0_85_940', tensor(74.5533))
('201504_15040300_13.9_131.1_85_945', tensor(68.8541))
('201504_15040306_14.1_130.0_80_950', tensor(63.8463))
('201504_15040312_14.1_129.0_75_955', tensor(66.1394))
('201504_15040318_14.3_127.8_75_960', tensor(65.6628))
('201504_15040400_14.7_126.6_70_965', tensor(62.2864))
('201504_15040406_15.2_125.1_55_980', tensor(62.0466))
('201504_15040412_15.7_123.8_50_985', tensor(63.0807))
('201504_15040418_16.0_123.0_40_996', tensor(47.2720))
('201504_15040500_16.2_122.6_35_1000', tensor(37.4452))
('201505_15040412_9.0_152.0_35_1000', tensor(54.4417))
('201505_15040418_9.1_151.6_35_998', tensor(39.7261))
('201505_15040500_9.0_151.3_35_998', tensor(43.1120))
('201505_15040506_8.9_150.9_35_998', tensor(45.3371))
('201506_15050400_9.6_140.2_35_998', tensor(63.9375))
('201506_15050406_9.6_139.9_35_996', tensor(48.9535))
('201506_15050412_9.5_139.6_40_996', tensor(51.9423))
('201506_15050418_9.5_139.3_40_994', tensor(50.9760))
('201506_15050500_9.4_139.1_45_992', tensor(50.0122))
('201506_15050506_9.3_138.8_45_992', tensor(57.3810))
('201506_15050512_9.3_138.5_50_990', tensor(38.9272))
('201506_15050518_9.3_138.3_60_985', tensor(52.6475))
('201506_15050600_9.4_137.6_60_985', tensor(62.0430))
('201506_15050606_9.5_136.9_65_980', tensor(62.7124))
('201506_15050612_9.8_136.1_75_970', tensor(65.8770))
('201506_15050618_10.1_135.2_80_960', tensor(63.5089))
('201506_15050700_10.6_134.2_80_960', tensor(72.1703))
('201506_15050706_11.3_133.1_80_960', tensor(80.4993))
('201506_15050712_11.6_132.0_85_955', tensor(85.5573))
('201506_15050718_11.8_131.1_85_955', tensor(64.8736))
('201506_15050800_12.1_130.3_85_955', tensor(67.9903))
('201506_15050806_12.6_129.2_85_955', tensor(69.2741))
('201506_15050812_13.4_128.0_85_955', tensor(73.7019))
('201506_15050818_13.7_127.3_85_955', tensor(71.4732))
('201506_15050900_14.3_126.4_85_955', tensor(61.8301))
('201506_15050906_14.9_125.2_90_945', tensor(77.2444))
('201506_15050912_15.4_124.6_90_945', tensor(83.3019))
('201506_15050918_16.1_123.9_100_935', tensor(90.6027))
('201506_15051000_17.0_123.3_110_920', tensor(92.2796))
('201506_15051006_17.8_122.6_110_920', tensor(96.5970))
('201506_15051012_18.6_122.4_105_925', tensor(71.4032))
('201506_15051018_19.6_122.1_100_930', tensor(63.0821))
('201506_15051100_20.6_122.0_90_945', tensor(60.6333))
('201506_15051106_21.7_122.2_80_960', tensor(64.2435))
('201507_15050918_5.7_161.0_35_1000', tensor(72.0000))
('201507_15051000_6.1_160.2_35_1000', tensor(57.0299))
('201507_15051006_6.7_160.0_35_1000', tensor(41.0835))
('201507_15051012_7.6_160.1_40_998', tensor(38.2422))
('201507_15051018_8.5_160.1_40_998', tensor(39.7787))
('201507_15051100_9.1_160.0_40_998', tensor(40.2337))
('201507_15051106_9.8_160.0_40_998', tensor(31.6103))
('201507_15051112_10.0_159.4_40_998', tensor(29.5212))
('201507_15051118_10.0_159.0_45_994', tensor(39.4587))
('201507_15051200_10.1_158.5_50_990', tensor(42.3987))
('201507_15051206_10.0_158.1_55_985', tensor(31.5592))
('201507_15051212_9.8_157.5_55_985', tensor(61.0589))
('201507_15051218_9.8_157.0_55_985', tensor(67.7778))
('201507_15051300_10.2_156.2_65_975', tensor(66.6974))
('201507_15051306_10.3_155.4_70_970', tensor(73.6082))
('201507_15051312_10.5_154.2_70_970', tensor(62.7553))
('201507_15051318_10.9_153.6_70_970', tensor(61.0786))
('201507_15051400_11.4_152.1_70_970', tensor(64.4316))
('201507_15051406_12.0_151.1_70_970', tensor(43.4875))
('201507_15051412_12.4_149.7_70_970', tensor(64.1190))
('201507_15051418_12.7_148.2_70_970', tensor(63.4837))
('201507_15051500_13.2_146.8_80_955', tensor(53.9647))
('201507_15051506_13.6_145.7_80_955', tensor(69.0689))
('201507_15051512_14.0_144.6_80_955', tensor(75.4107))
('201507_15051518_14.8_143.5_95_935', tensor(89.6494))
('201507_15051600_15.2_142.5_95_935', tensor(103.8537))
('201507_15051606_15.8_141.5_100_925', tensor(110.0509))
('201507_15051612_16.5_140.7_100_925', tensor(118.2761))
('201507_15051618_17.2_139.8_100_925', tensor(117.3475))
('201507_15051700_17.8_139.1_95_935', tensor(112.1599))
('201507_15051706_18.6_138.7_95_935', tensor(114.3947))
('201507_15051712_19.3_138.6_95_935', tensor(96.2162))
('201507_15051718_20.0_138.4_95_935', tensor(98.9287))
('201507_15051800_20.8_138.4_90_945', tensor(83.0389))
('201507_15051806_21.5_138.6_80_955', tensor(73.8954))
('201507_15051812_22.2_138.9_80_955', tensor(84.5526))
('201507_15051818_22.8_139.2_75_960', tensor(67.6817))
('201507_15051900_23.6_139.4_75_960', tensor(58.4535))
('201507_15051906_24.6_139.9_70_965', tensor(50.3528))
('201507_15052006_29.8_145.7_60_975', tensor(61.9387))
('201507_15052012_32.7_148.2_55_980', tensor(33.0770))
('201507_15052018_36.0_152.0_55_980', tensor(25.0400))
('201508_15062106_16.4_111.4_40_990', tensor(38.1539))
('201508_15062112_16.8_111.6_45_985', tensor(35.4708))
('201508_15062118_17.7_111.3_45_985', tensor(36.0893))
('201508_15062200_18.1_111.2_45_985', tensor(33.3089))
('201508_15062206_18.5_110.9_45_985', tensor(32.6119))
('201508_15062212_18.5_110.1_45_985', tensor(39.8649))
('201508_15062218_18.7_109.6_35_990', tensor(28.2560))
('201508_15062300_19.6_109.1_35_990', tensor(39.1694))
('201508_15062306_19.7_108.6_40_990', tensor(47.5343))
('201508_15062312_19.8_108.1_40_990', tensor(56.1055))
('201508_15062318_20.1_107.5_40_990', tensor(45.9849))
('201508_15062400_20.4_107.3_45_985', tensor(39.8353))
('201508_15062406_20.7_106.9_40_990', tensor(37.7407))
('201508_15062412_21.3_106.6_35_992', tensor(40.5049))
('201509_15063018_10.8_159.7_40_996', tensor(34.6048))
('201509_15070100_10.9_159.0_40_994', tensor(33.6581))
('201509_15070106_11.1_158.3_40_994', tensor(33.7308))
('201509_15070112_11.5_156.1_45_990', tensor(28.3159))
('201509_15070118_11.7_154.0_50_985', tensor(35.3590))
('201509_15070200_11.4_152.1_50_985', tensor(68.3147))
('201509_15070206_10.8_150.3_50_985', tensor(50.8532))
('201509_15070212_10.0_149.0_55_980', tensor(42.3327))
('201509_15070218_9.8_148.0_55_980', tensor(65.5161))
('201509_15070300_10.3_147.9_55_980', tensor(39.8548))
('201509_15070306_10.8_148.0_50_985', tensor(32.6336))
('201509_15070312_11.4_148.5_45_990', tensor(36.4856))
('201509_15070318_12.2_148.6_45_990', tensor(27.1172))
('201509_15070400_12.7_148.0_45_990', tensor(32.1464))
('201509_15070406_13.2_147.1_45_990', tensor(43.2974))
('201509_15070412_13.5_146.2_45_990', tensor(66.2295))
('201509_15070418_13.7_145.6_45_990', tensor(76.3885))
('201509_15070500_13.8_145.2_45_990', tensor(55.5076))
('201509_15070506_14.5_144.9_45_990', tensor(61.2505))
('201509_15070512_15.1_144.2_45_990', tensor(43.1920))
('201509_15070518_15.9_143.4_50_985', tensor(49.0656))
('201509_15070600_16.5_142.6_55_980', tensor(40.5229))
('201509_15070606_17.2_141.4_55_980', tensor(38.3471))
('201509_15070612_17.4_140.2_55_980', tensor(53.1331))
('201509_15070618_17.5_138.8_60_975', tensor(60.8490))
('201509_15070700_17.7_137.6_65_970', tensor(75.8652))
('201509_15070706_18.1_136.4_70_965', tensor(77.9126))
('201509_15070712_18.5_135.5_70_965', tensor(90.8235))
('201509_15070718_19.1_134.4_70_965', tensor(91.1263))
('201509_15070800_19.6_133.5_70_965', tensor(70.3991))
('201509_15070806_20.4_132.6_70_965', tensor(64.5975))
('201509_15070812_21.0_131.7_70_965', tensor(70.0110))
('201509_15070818_21.7_130.6_70_965', tensor(77.5467))
('201509_15070900_22.5_129.6_70_965', tensor(92.6288))
('201509_15071018_27.8_123.3_85_945', tensor(71.8770))
('201509_15071100_28.7_122.9_80_950', tensor(65.2236))
('201509_15071106_29.5_122.5_75_960', tensor(63.8652))
('201509_15071112_30.3_122.9_70_965', tensor(70.9448))
('201509_15071118_31.8_123.2_60_970', tensor(45.8963))
('201509_15071200_33.3_123.6_55_975', tensor(44.5021))
('201509_15071206_34.9_124.2_50_980', tensor(45.6793))
('201509_15071212_36.5_124.7_45_985', tensor(45.9959))
('201509_15071218_38.2_125.4_40_985', tensor(47.4622))
('201510_15070218_14.8_127.4_35_998', tensor(43.9749))
('201510_15070300_15.0_126.7_35_998', tensor(44.2372))
('201510_15070306_15.1_126.1_40_994', tensor(39.3507))
('201510_15070312_15.2_125.4_40_990', tensor(59.8993))
('201510_15070318_15.4_125.0_40_990', tensor(44.4121))
('201510_15070400_16.1_124.6_40_990', tensor(52.9680))
('201510_15070406_16.5_123.8_45_985', tensor(65.0597))
('201510_15070412_16.8_123.0_45_985', tensor(66.5834))
('201510_15070418_17.0_122.6_45_985', tensor(67.8509))
('201510_15070500_17.5_122.0_40_990', tensor(54.9609))
('201510_15070506_18.0_120.3_40_992', tensor(51.5942))
('201510_15070512_17.9_119.8_40_992', tensor(63.3810))
('201510_15070518_18.2_119.5_40_992', tensor(50.0010))
('201510_15070600_18.7_119.4_40_992', tensor(36.0843))
('201510_15070606_19.2_119.3_40_992', tensor(37.1941))
('201510_15070612_19.5_119.3_40_992', tensor(37.3440))
('201510_15070618_19.9_119.1_40_990', tensor(30.3069))
('201510_15070700_20.2_118.9_40_990', tensor(38.4462))
('201510_15070706_20.5_118.9_45_985', tensor(42.6407))
('201510_15070712_20.8_118.7_45_985', tensor(45.5776))
('201510_15070718_21.1_118.7_45_985', tensor(33.4450))
('201510_15070800_21.5_118.7_50_980', tensor(33.6098))
('201510_15070806_21.8_118.7_50_980', tensor(35.0114))
('201510_15070812_22.2_118.4_50_980', tensor(63.3761))
('201510_15070818_22.5_117.7_50_980', tensor(51.6453))
('201510_15070900_22.7_116.9_50_980', tensor(53.0538))
('201510_15070906_22.9_115.6_50_985', tensor(57.1523))
('201510_15070912_22.9_114.4_45_992', tensor(47.4958))
('201510_15070918_22.3_113.0_40_996', tensor(36.6063))
('201511_15070400_10.3_170.3_35_998', tensor(65.0467))
('201511_15070406_10.9_168.8_40_996', tensor(37.7003))
('201511_15070412_11.2_167.1_40_994', tensor(49.4690))
('201511_15070418_11.1_165.9_45_992', tensor(50.3387))
('201511_15070500_11.3_164.7_45_992', tensor(46.3600))
('201511_15070506_11.2_163.8_45_990', tensor(56.2030))
('201511_15070512_11.0_162.5_50_985', tensor(66.8503))
('201511_15070518_11.5_161.0_55_980', tensor(61.9739))
('201511_15070600_11.7_159.9_60_975', tensor(60.5954))
('201511_15070606_11.7_158.6_60_970', tensor(70.3067))
('201511_15070612_12.2_157.8_65_965', tensor(90.1445))
('201511_15070618_12.6_156.8_75_955', tensor(87.6315))
('201511_15070700_13.1_155.6_85_945', tensor(79.1129))
('201511_15070706_13.7_154.5_90_935', tensor(95.8611))
('201511_15070712_14.3_153.5_100_925', tensor(102.9384))
('201511_15070718_15.0_152.2_100_925', tensor(85.8353))
('201511_15070800_15.4_150.7_95_930', tensor(82.5005))
('201511_15070806_15.4_149.9_90_935', tensor(74.1968))
('201511_15070812_16.0_149.0_90_935', tensor(82.6242))
('201511_15070818_16.6_147.8_95_930', tensor(85.8787))
('201511_15070900_17.0_146.8_95_930', tensor(87.4981))
('201511_15070906_17.6_145.9_100_925', tensor(90.7437))
('201511_15070912_18.0_144.5_100_925', tensor(96.8161))
('201511_15070918_18.2_143.6_100_925', tensor(88.1110))
('201511_15071000_18.2_142.7_100_925', tensor(77.3636))
('201511_15071006_18.4_142.0_95_930', tensor(87.3729))
('201511_15071012_18.2_141.3_90_935', tensor(74.3847))
('201511_15071018_18.3_140.7_85_940', tensor(66.5118))
('201511_15071100_18.3_140.0_85_940', tensor(76.8818))
('201511_15071106_18.3_139.5_85_945', tensor(66.7958))
('201511_15071112_18.4_139.0_80_950', tensor(71.7892))
('201511_15071118_18.4_138.4_80_950', tensor(85.1401))
('201511_15071200_18.4_137.8_75_955', tensor(71.8875))
('201511_15071206_18.6_137.6_75_955', tensor(67.2550))
('201511_15071212_18.7_137.5_70_960', tensor(64.2024))
('201511_15071218_19.0_137.2_70_960', tensor(66.9613))
('201511_15071300_19.6_137.2_70_960', tensor(75.8891))
('201511_15071306_20.5_137.1_75_955', tensor(84.0618))
('201511_15071312_21.3_136.9_80_950', tensor(95.4400))
('201511_15071318_22.2_136.6_80_950', tensor(85.4591))
('201511_15071400_22.7_136.5_80_950', tensor(83.0854))
('201511_15071406_23.7_136.6_80_950', tensor(94.1442))
('201511_15071412_24.4_136.6_80_950', tensor(79.1952))
('201511_15071418_25.5_136.5_85_945', tensor(90.8090))
('201511_15071500_26.5_136.3_85_945', tensor(81.8452))
('201511_15071506_27.6_136.0_85_945', tensor(85.4695))
('201511_15071512_29.0_135.6_85_945', tensor(87.8272))
('201511_15071518_30.0_135.3_80_950', tensor(72.9109))
('201511_15071600_31.0_134.7_75_955', tensor(64.2116))
('201512_15071300_13.0_179.8_50_990', tensor(62.9271))
('201512_15071306_13.6_178.8_55_985', tensor(77.1263))
('201512_15071312_14.1_177.5_60_980', tensor(86.9287))
('201512_15071318_14.6_176.4_60_980', tensor(75.9385))
('201512_15071400_15.2_175.5_65_975', tensor(74.5433))
('201512_15071406_15.7_174.4_70_970', tensor(74.5748))
('201512_15071412_16.3_173.2_70_970', tensor(67.9105))
('201512_15071418_16.6_172.0_65_975', tensor(59.9961))
('201512_15071500_17.0_171.6_65_975', tensor(61.2897))
('201512_15071506_17.4_170.6_60_980', tensor(49.8535))
('201512_15071512_18.0_169.4_60_980', tensor(62.9047))
('201512_15071518_18.4_167.9_60_980', tensor(72.4277))
('201512_15071600_18.5_166.8_55_985', tensor(61.9886))
('201512_15071606_18.6_165.7_50_990', tensor(55.1739))
('201512_15071612_18.5_164.2_40_996', tensor(46.1115))
('201512_15071618_18.4_162.5_35_1000', tensor(37.9249))
('201512_15072000_21.0_148.5_40_996', tensor(43.0160))
('201512_15072006_21.5_147.4_50_990', tensor(52.8919))
('201512_15072012_21.7_146.4_50_990', tensor(48.7216))
('201512_15072018_22.0_145.4_55_985', tensor(48.6935))
('201512_15072100_22.4_144.1_65_975', tensor(60.9055))
('201512_15072106_22.6_142.9_70_970', tensor(80.3074))
('201512_15072112_22.9_141.7_75_965', tensor(63.5293))
('201512_15072118_23.0_140.5_80_955', tensor(51.2381))
('201512_15072200_23.3_139.6_80_955', tensor(59.3550))
('201512_15072206_23.6_138.5_80_955', tensor(76.3443))
('201512_15072212_23.8_137.7_80_955', tensor(57.7572))
('201512_15072218_24.2_136.8_80_955', tensor(64.6749))
('201512_15072300_24.4_136.0_75_965', tensor(66.5577))
('201512_15072306_24.6_135.1_75_965', tensor(56.1022))
('201512_15072312_24.5_134.3_75_965', tensor(47.6630))
('201512_15072318_24.6_133.4_75_965', tensor(47.3025))
('201513_15080112_14.3_150.7_40_996', tensor(43.7125))
('201513_15080118_14.4_149.6_50_990', tensor(55.0262))
('201513_15080200_14.6_148.2_60_980', tensor(74.9121))
('201513_15080206_14.9_146.8_70_970', tensor(52.8451))
('201513_15080212_15.1_146.0_80_960', tensor(72.1334))
('201513_15080218_15.6_145.0_85_945', tensor(75.0660))
('201513_15080300_16.2_144.0_90_940', tensor(73.7322))
('201513_15080306_16.9_143.0_95_930', tensor(68.0854))
('201513_15080312_17.4_141.9_105_910', tensor(95.9003))
('201513_15080318_17.9_140.7_115_900', tensor(110.1161))
('201513_15080400_18.3_139.6_115_900', tensor(104.6129))
('201513_15080406_18.6_138.3_115_900', tensor(107.1704))
('201513_15080412_18.9_137.2_105_910', tensor(107.2208))
('201513_15080418_19.3_136.2_100_925', tensor(101.3540))
('201513_15080500_19.5_134.9_95_930', tensor(97.1388))
('201513_15080506_19.9_133.7_95_930', tensor(83.2101))
('201513_15080512_20.0_132.6_90_935', tensor(84.6888))
('201513_15080518_20.1_131.5_90_935', tensor(77.5254))
('201513_15080600_20.5_130.2_90_935', tensor(77.3337))
('201513_15080606_20.9_129.2_90_935', tensor(86.3433))
('201513_15080612_21.2_128.2_90_935', tensor(75.1926))
('201513_15080618_21.5_126.8_90_935', tensor(74.0074))
